738542089 ;       13758;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110340;201.219.233.20 ;OK ;597026007976        ;Redireccion web                                                         
738542089 ;       13758;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110340;201.219.233.20 ;OK ;597026007976        ;Todo OK                                                                 
          ;       13782;   ;Filtro    ;Inicio                                  ;01072016      ;110408;186.106.220.21 ;OK ;                    ;Inicio de filtrado                                                      
          ;       13782;   ;Filtro    ;tbk_param.txt                           ;01072016      ;110408;186.106.220.21 ;OK ;                    ;Archivo parseado                                                        
          ;       13782;   ;Filtro    ;Terminado                               ;01072016      ;110408;186.106.220.21 ;OK ;                    ;Datos Filtrados con exito                                               
738544828 ;       13782;   ;pago      ;inicio                                  ;01072016      ;110408;186.106.220.21 ;OK ;597026007976        ;Parseo realizado                                                        
738544828 ;       13782;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110408;186.106.220.21 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
738544828 ;       13782;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110408;186.106.220.21 ;OK ;597026007976        ;Mac generado                                                            
738544828 ;       13782;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110408;186.106.220.21 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
738544828 ;       13782;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110408;186.106.220.21 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
738544828 ;       13782;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110408;186.106.220.21 ;OK ;597026007976        ;Datos listos para ser enviados                                          
738544828 ;       13782;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110408;186.106.220.21 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
738544828 ;       13782;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110408;186.106.220.21 ;OK ;597026007976        ;Redireccion web                                                         
738544828 ;       13782;   ;pago      ;https://certificacion.webpay.cl         ;01072016      ;110408;186.106.220.21 ;OK ;597026007976        ;Todo OK                                                                 
          ;       13790;   ;resultado ;Desencriptando                          ;01072016      ;110418;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
